customer_id,age,gender,region,employment_type,annual_income_inr,credit_score,credit_utilization_ratio,missed_payments_12m,avg_late_payment_days,monthly_transaction_count,monthly_spend_inr,cash_advance_count_6m,complaints_last_6m,failed_login_attempts_3m,account_tenure_months,last_transaction_date,debt_balance_inr,risk_status
500024,,Male,North,Salaried,23193,684,0.355,2,6.8,79,10828,0,0,3,70,2025-11-27,9284,0
500025,47,Female,Central,Student,30859,699,0.116,0,3.2,37,8679,1,0,3,44,2025-11-17,40350,0
500026,18,Male,East,Student,41507,,0.049,1,3.6,87,30266,0,0,3,77,2025-11-08,13132,0
500027,56,Male,North,Self-Employed,53289,,0.266,1,1.5,9,32043,2,0,0,174,2025-10-30,10803,0
500028,44,Female,South,,40253,553,0.866,4,26.8,73,24602,1,1,3,4,2025-10-30,60350,1
500029,32,Female,North,Salaried,22274,720,0.203,1,5.2,22,,0,0,1,61,2025-11-02,35189,0
500030,43,Male,,Salaried,16189,729,0.431,0,4.7,32,4582,2,0,2,28,2025-10-09,21158,0
500031,,Male,East,Salaried,72433,658,0.299,1,1.7,83,25827,0,0,2,57,2025-11-03,45501,0
500032,28,Female,East,Retired,65019,674,0.347,2,7.8,47,43394,0,2,3,27,2025-10-17,37537,0
500033,32,Male,East,Salaried,53873,599,0.338,1,7.9,91,25372,0,1,1,11,2025-11-28,18784,0
500034,42,Female,North,Salaried,24792,805,,1,3.6,67,13970,0,0,3,101,2025-10-26,19155,0
500035,34,Female,North,Self-Employed,47579,636,0.125,1,2.8,61,20174,1,0,2,49,2025-09-09,23489,0
500036,42,Male,Central,Salaried,49611,745,0.264,0,0.9,80,26154,0,2,0,23,2025-10-18,53380,0
500037,41,Male,North,Student,21952,713,0.312,1,2.6,33,10724,1,0,2,45,2025-11-22,30928,0
500038,36,Female,East,Self-Employed,39648,752,0.237,1,1.6,73,18222,0,0,1,23,2025-09-30,20219,0
500039,42,Male,South,Self-Employed,30630,774,0.095,0,14.4,53,20685,0,0,2,59,2025-09-21,23552,0
500040,49,Male,West,Salaried,84353,,0.759,0,4.4,84,59840,1,0,1,62,2025-09-18,86447,0
500041,50,Male,North,Self-Employed,24993,749,0.525,0,4.2,71,9493,0,0,2,41,2025-11-11,10223,0
500042,29,Male,Central,Salaried,46540,731,0.515,0,2,49,26686,0,1,3,36,2025-11-22,70265,0
500043,36,Female,North,,15000,639,0.585,4,14.9,82,14175,5,2,4,94,2025-09-30,36389,1
500044,32,Male,Central,Salaried,47111,741,0.269,0,3.1,49,24689,1,0,1,74,2025-09-12,55006,0
500045,40,Male,South,Salaried,32621,706,0.827,0,2.3,46,22519,0,1,2,25,2025-10-29,21424,0
500046,61,Male,Central,Salaried,20010,,,0,1.4,100,5227,0,0,2,15,2025-10-28,6282,0
500047,30,Male,West,Salaried,116314,665,0.702,0,7.1,74,47612,0,0,4,51,2025-09-25,96072,0
500048,39,Male,North,Salaried,40868,706,0.174,0,4.6,65,24949,1,0,0,51,2025-11-15,59512,0
500049,49,Other,Central,Salaried,,644,0.458,0,2.9,40,12410,2,0,2,34,2025-09-23,55716,0
500050,52,Male,North,Salaried,29477,622,0.678,1,9,46,23727,5,0,5,39,2025-10-27,72618,1
500051,42,Female,North,Salaried,29317,614,0.422,1,9.1,79,21697,1,0,3,92,2025-10-27,14630,0
500052,28,Female,North,Salaried,43772,624,0.048,0,1,59,14929,1,0,0,56,2025-11-23,26730,0
500053,32,Female,East,Salaried,17161,621,0.878,3,15.7,45,10035,2,0,3,123,2025-09-05,46570,1
500054,37,Male,Central,Salaried,57707,687,0.148,0,4.5,48,34703,0,0,2,23,2025-10-30,15827,0
500055,36,Female,Central,Student,15702,524,0.822,2,5.3,54,10223,1,0,4,9,2025-09-14,32266,1
500056,62,Female,Central,Self-Employed,78213,713,0.11,0,3.8,101,20382,0,0,2,22,2025-11-04,73218,0
500057,40,Female,West,Salaried,,745,0.195,2,5,113,,0,0,4,35,2025-10-19,7319,0
500058,50,Male,North,Unemployed,37659,732,,3,3,16,22082,1,1,1,48,2025-09-13,39663,0
500059,20,Female,South,Self-Employed,24811,719,0.234,0,7.5,97,7092,0,2,3,68,2025-11-23,32322,0
500060,47,Male,West,Salaried,50246,561,0.351,1,5.4,40,21093,2,0,2,22,2025-10-29,54202,0
500061,42,Male,East,Self-Employed,36978,619,0.353,1,4.9,22,26451,0,0,2,26,2025-11-03,40567,0
500062,20,Female,East,Salaried,44009,737,0.614,0,4.8,32,12873,0,1,1,48,2025-11-27,68644,0
500063,32,Male,Central,Self-Employed,53839,684,0.071,1,7.7,111,35962,0,0,3,48,2025-09-15,85869,0
500064,41,Male,North,Salaried,21522,492,0.781,2,25,59,14885,4,0,4,59,2025-11-22,56664,1
500065,40,Female,South,Unemployed,54843,667,0.431,0,4.1,32,20839,0,2,2,66,2025-11-04,19977,0
500066,50,Male,West,Student,67718,617,,0,1.6,32,47854,0,0,1,35,2025-09-21,104835,0
500067,18,Male,South,Salaried,24933,807,0.35,1,7.1,97,14506,0,0,2,58,2025-11-14,6559,0
500068,34,Female,South,Salaried,52394,719,0.166,1,4.3,61,31364,1,0,1,23,2025-11-10,55007,0
500069,18,Female,Central,Self-Employed,78057,699,0.508,0,3.3,129,43681,1,1,0,39,2025-10-08,32818,0
500070,38,Male,North,Salaried,28002,605,0.487,1,9.1,57,18224,0,0,5,53,2025-10-03,17323,0
500071,29,Male,,Salaried,26015,632,0.04,0,14.5,70,10952,0,0,2,40,2025-12-01,37272,0
500072,45,Male,West,Self-Employed,29712,601,0.327,0,2.1,101,,1,0,0,57,2025-10-18,41600,0
500073,32,Female,South,Retired,46362,563,0.316,1,6.3,69,17637,2,0,4,22,2025-09-22,63253,0
500074,31,Female,West,Self-Employed,52333,595,0.406,1,0.7,39,28486,0,1,3,86,2025-09-19,75145,0
500075,50,Male,Central,Student,36524,737,0.158,0,2.9,79,24498,1,0,3,29,2025-11-14,50532,0
500076,54,Female,East,Salaried,,665,0.545,0,4.3,76,29821,0,0,0,73,2025-09-12,20410,0
500077,22,Male,North,Salaried,24293,517,0.631,3,19,63,12318,2,1,5,59,2025-11-09,52808,1
500078,27,Female,Central,,62096,733,0.185,1,0.6,46,20388,1,0,0,15,2025-10-23,85243,0
500079,36,Male,South,Salaried,46084,723,0.292,1,4.5,84,16568,1,0,1,102,2025-09-13,48845,0
500080,42,Male,East,Student,42652,727,0.338,1,1.8,77,25173,0,1,2,104,2025-09-05,57909,0
500081,47,Male,South,Student,34618,613,0.287,0,2,53,15722,1,1,4,16,2025-10-03,19073,0
500082,43,Female,Central,Salaried,56767,688,0.029,1,4.7,85,16651,0,0,1,47,2025-09-04,11505,0
500083,56,Female,South,Self-Employed,55332,725,0.135,0,6.2,79,31546,0,1,1,61,2025-10-27,31841,0
500084,38,Female,South,Salaried,35971,826,0.399,0,3.8,51,9196,0,0,1,58,2025-09-15,51242,0
500085,53,Male,Central,Salaried,66347,635,0.335,0,0.7,77,38738,0,0,2,39,2025-10-10,84321,0
500086,59,Female,Central,Self-Employed,59375,,0.486,0,4.6,55,42652,1,2,1,74,2025-09-12,75788,0
500087,45,Female,East,Salaried,62861,696,0.293,2,3.8,40,24917,0,0,1,55,2025-11-24,17451,0
500088,,Male,North,Student,50312,719,0.216,3,5.2,58,30977,0,0,2,56,2025-10-27,11733,0
500089,28,Male,West,Salaried,39508,707,0.634,0,5.5,53,12616,0,0,1,136,2025-09-07,38697,0
500090,40,Male,South,Self-Employed,29617,542,0.517,3,26.5,63,25278,4,2,7,41,2025-09-12,25272,1
500091,37,Male,East,,50965,683,0.326,0,1.4,93,,2,2,2,84,2025-11-09,76009,0
500092,51,Female,South,Salaried,32451,602,,1,1.3,73,19168,0,0,0,98,2025-09-13,42305,0
500093,43,Male,West,Retired,71054,602,0.363,1,1.4,57,40774,0,1,4,99,2025-10-24,106063,0
500094,35,Female,East,Unemployed,15000,541,0.511,4,3.6,58,9681,0,2,1,77,2025-11-28,28758,1
500095,46,Male,North,Salaried,92623,600,0.349,1,1.7,153,34424,1,0,4,33,2025-09-18,74151,0
500096,25,Female,South,Self-Employed,45772,711,0.057,0,1.3,69,31060,0,0,2,13,2025-09-10,56992,0
500097,64,Male,South,Salaried,62171,731,0.192,0,0.9,102,42385,0,1,4,59,2025-11-03,82408,0
500098,35,Male,South,Self-Employed,46054,661,0.644,0,1.3,89,32985,1,0,4,67,2025-10-08,27895,0
500099,51,Female,West,Self-Employed,29704,683,0.425,0,5.6,101,14768,1,0,0,25,2025-11-13,15218,0
500100,18,Female,West,Salaried,80533,761,0.167,0,3.9,28,42776,0,0,2,44,2025-10-26,56354,0
500101,43,Female,West,Salaried,27025,641,0.534,0,4,57,11516,0,0,1,33,2025-11-19,40711,0
500102,,Male,West,Salaried,40679,723,,1,1.4,89,19707,0,1,2,37,2025-09-06,35232,0
500103,27,Male,North,Salaried,32933,695,0.405,1,3.6,146,14245,1,0,2,45,2025-10-16,32131,0
500104,38,Female,East,Student,40875,715,0.464,0,7.7,87,24143,0,1,0,17,2025-10-20,57398,0
500105,51,Female,North,Salaried,60617,647,0.343,1,2.5,109,29591,1,0,3,100,2025-10-28,90167,0
500106,29,Female,North,Unemployed,73316,754,,1,10.4,90,45510,1,2,2,33,2025-09-11,62888,0
500107,53,Female,Central,Salaried,19560,681,0.611,0,6.7,74,14638,0,0,2,92,2025-09-30,28116,0
500108,52,Female,West,Self-Employed,43850,682,0.213,0,7.6,75,14936,1,0,1,35,2025-11-29,53458,0
500109,35,Male,East,Self-Employed,45043,707,0.586,0,1.4,88,26799,0,0,3,83,2025-10-22,44824,0
500110,30,Male,South,Student,29862,745,0.24,3,5.9,43,10062,1,0,2,38,2025-09-21,45544,0
500111,27,Female,South,Self-Employed,43031,598,,2,4.5,74,18930,0,0,1,45,2025-11-19,9563,0
500112,18,Male,Central,Salaried,57032,581,0.381,2,7.6,47,19925,0,0,2,72,2025-09-13,50467,0
500113,52,Male,West,Self-Employed,35035,669,0.496,1,4.6,83,17454,2,0,1,168,2025-10-01,31862,0
500114,43,Female,South,Salaried,52309,646,0.408,1,4.2,73,36674,1,0,1,51,2025-10-26,50056,0
500115,23,Female,West,Self-Employed,29883,679,0.604,1,2,68,19338,0,2,1,35,2025-09-25,45387,0
500116,20,Male,East,Unemployed,43284,609,0.469,2,8.9,24,26251,1,0,4,33,2025-10-27,52053,1
500117,39,Female,South,Salaried,27110,731,0.557,1,0.4,55,14783,0,0,1,9,2025-11-13,26462,0
500118,50,Male,North,Self-Employed,32010,730,0.371,1,3.4,65,14227,0,0,0,35,2025-10-16,6839,0
500119,45,Male,West,Salaried,29213,607,0.24,0,1.9,50,12085,0,1,2,30,2025-09-08,31903,0
500120,42,Female,North,Salaried,33529,653,0.623,2,5.9,59,21686,2,0,0,70,2025-11-18,53262,0
500121,43,Female,South,Self-Employed,53007,702,0.189,1,3,60,18770,2,1,1,36,2025-10-24,54947,0
500122,18,Male,East,Self-Employed,70866,753,0.279,0,3.2,50,29997,2,0,0,23,2025-09-30,37605,0
500123,32,Male,South,Salaried,26924,534,0.574,3,34.3,53,20357,1,4,3,25,2025-11-24,62189,1
500124,35,Male,East,Self-Employed,54870,701,0.091,0,3.6,34,16258,0,0,0,24,2025-10-15,59104,0
500125,36,Male,East,Self-Employed,16689,619,0.368,0,2,74,4707,0,0,0,19,2025-09-16,9761,0
500126,19,Female,South,Self-Employed,41531,675,0.296,0,5.3,80,29870,0,1,1,63,2025-09-17,27627,0
500127,34,Female,South,Unemployed,45934,756,0.499,1,0.6,78,19175,0,0,1,42,2025-10-12,62719,0
500128,43,Female,South,Salaried,93680,706,0.426,1,5.1,99,26528,0,0,2,47,2025-10-05,28631,0
500129,18,Female,South,Self-Employed,40711,711,0.303,1,6.9,51,23697,0,1,2,51,2025-11-16,53522,0
500130,31,Other,South,Salaried,43221,656,0.546,0,5.5,87,12732,1,0,2,67,2025-10-20,41653,0
500131,46,Female,East,Salaried,29050,725,0.534,1,2.4,32,14726,3,1,2,58,2025-09-23,44664,0
500132,,Male,South,Salaried,68548,686,0.332,1,2.5,5,17755,0,0,2,27,2025-09-18,71300,0
500133,45,Male,South,Salaried,17736,791,0.321,1,3.4,59,12530,1,0,1,60,2025-10-19,15974,0
500134,32,Male,North,Salaried,48942,687,0.52,0,4.7,117,25544,0,0,1,63,2025-09-22,30360,0
500135,32,Female,West,Salaried,64569,578,0.637,0,1.6,101,21791,1,0,0,81,2025-10-17,94170,0
500136,18,Male,Central,Salaried,,651,,1,4,78,10630,1,0,2,42,2025-11-06,24776,0
500137,48,Female,West,Salaried,24806,625,0.365,0,6.3,94,12462,0,2,0,65,2025-11-09,13125,0
500138,43,Male,West,Salaried,103350,788,0.611,0,1.9,80,61967,0,0,1,80,2025-11-20,45912,0
500139,40,Male,West,Salaried,21066,642,0.27,0,1.4,27,9968,0,0,4,16,2025-10-01,15375,0
500140,22,Female,West,Self-Employed,24354,697,0.338,1,0.5,86,16300,0,0,1,162,2025-09-30,36369,0
500141,53,Male,South,Salaried,59595,754,0.647,1,7.9,11,18670,0,0,2,132,2025-10-17,84952,0
500142,44,Female,South,Self-Employed,54838,676,0.131,0,9,42,39351,0,0,4,32,2025-11-10,28848,0
500143,45,Other,Central,Student,73917,653,0.523,1,4.8,72,32458,1,1,2,44,2025-11-08,106079,0
500144,56,Female,North,Self-Employed,36922,711,0.499,1,4,72,13029,0,1,5,85,2025-11-11,39216,0
500145,57,Male,South,Salaried,40923,758,0.176,0,0.7,86,23500,2,0,1,48,2025-11-12,50186,0
500146,,Female,East,Salaried,36785,629,0.299,1,4.2,83,20400,1,0,4,114,2025-10-22,49244,0
500147,32,Female,South,Self-Employed,36960,719,0.302,0,3.1,61,10382,1,0,2,21,2025-10-24,25839,0
500148,29,Female,East,Salaried,52103,782,,0,3.9,43,21187,0,0,2,63,2025-09-16,80059,0
500149,18,Male,North,Student,28514,705,,3,1.1,56,14773,0,0,1,18,2025-09-17,13332,0
500150,32,Male,East,Salaried,35816,691,,0,5.4,74,23244,0,0,3,104,2025-10-11,30399,0
500151,22,Female,North,Unemployed,34029,706,0.391,1,3.1,75,15002,0,1,2,95,2025-11-05,42666,0
500152,50,Female,East,Retired,30030,788,0.294,0,5.2,48,11058,0,0,4,20,2025-09-12,6739,0
500153,45,Female,West,Self-Employed,22592,639,0.372,0,6.5,27,12025,1,0,1,132,2025-10-03,25539,0
500154,37,Female,North,Student,31400,528,0.848,4,40.5,53,23523,2,1,4,59,2025-11-01,47711,1
500155,18,Female,South,Salaried,36664,714,0.251,1,5.1,43,25570,0,1,3,6,2025-09-09,17393,0
500156,34,Male,Central,Salaried,43474,724,0.779,1,4.2,79,21191,1,0,1,38,2025-11-09,40042,0
500157,50,Female,North,Salaried,,590,0.605,0,0.9,58,14456,0,1,0,22,2025-09-08,23197,0
500158,26,Male,South,Unemployed,37709,605,0.43,1,2.4,105,17868,0,0,2,13,2025-09-23,41943,0
500159,23,Female,North,Salaried,,726,0.321,0,4.1,79,15253,2,0,2,93,2025-11-04,62769,0
500160,35,Female,North,Salaried,,549,0.192,4,16,50,16004,0,3,6,84,2025-11-07,85571,1
500161,32,Male,Central,Salaried,15000,716,0.523,1,2.9,79,4878,2,0,5,20,2025-09-18,7924,0
500162,48,Male,North,Self-Employed,37501,670,0.357,1,3.1,69,17805,0,0,1,9,2025-09-13,44613,0
500163,36,Female,North,Salaried,39512,662,,0,2.1,109,29108,0,0,2,98,2025-09-05,30448,0
500164,27,Male,North,Self-Employed,36685,760,0.647,0,3.9,62,27300,0,2,1,52,2025-10-28,45221,0
500165,41,Female,South,Salaried,26038,629,0.446,0,2.6,48,14376,1,2,4,26,2025-11-09,7567,0
500166,31,Male,Central,Self-Employed,29162,690,0.334,1,0.6,61,18522,1,1,0,35,2025-09-12,21611,0
500167,35,Male,Central,Self-Employed,46654,696,0.385,0,2.1,82,23014,0,1,1,46,2025-12-01,26879,0
500168,38,Female,South,Salaried,19899,684,0.453,1,2.8,75,10693,0,1,2,14,2025-11-22,25557,0
500169,,Female,West,Self-Employed,56255,652,0.71,2,7.4,118,21201,0,0,3,37,2025-10-22,78066,0
500170,43,Female,South,Salaried,26581,,0.179,0,1.8,61,17789,1,1,0,18,2025-09-07,9191,0
500171,26,Female,Central,Salaried,79039,507,0.12,1,6.7,62,40408,2,1,2,15,2025-09-09,87434,0
500172,41,Female,West,Salaried,52564,712,0.105,1,7.1,84,21637,0,0,2,70,2025-10-24,81143,0
500173,46,Female,Central,Student,48254,733,0.668,1,0.7,60,22349,1,0,1,55,2025-11-15,58991,0
500174,45,Male,North,Student,31319,771,0.688,1,5.6,53,20227,0,1,0,58,2025-11-20,18019,0
500175,29,Female,Central,Student,33785,690,0.104,1,4.7,64,10841,0,0,1,66,2025-10-17,33450,0
500176,39,Female,Central,Salaried,31302,716,0.261,0,11,90,11878,1,0,4,34,2025-10-06,31712,0
500177,38,Female,,Self-Employed,46761,776,0.222,0,9,95,22118,0,0,1,97,2025-11-06,74253,0
500178,47,Male,West,Self-Employed,42046,625,0.353,0,3.4,92,13403,0,0,6,20,2025-10-03,53803,0
500179,22,Male,,Student,39402,,0.259,1,1.3,84,28065,0,0,3,71,2025-09-27,24899,0
500180,41,Male,West,Salaried,31757,565,,1,4.7,39,17560,1,0,0,84,2025-10-05,18988,0
500181,43,Male,East,Salaried,34845,658,0.215,0,5.8,69,23625,1,0,2,98,2025-09-09,22146,0
500182,28,Female,North,Self-Employed,55721,707,0.128,0,5,103,35040,0,0,1,140,2025-09-24,83616,0
500183,39,Female,South,Salaried,22702,584,0.616,4,29.1,34,13157,3,4,3,70,2025-11-15,22769,1
500184,25,Male,South,Salaried,64008,646,0.43,1,9.4,22,36058,2,1,1,76,2025-11-26,77561,0
500185,32,Female,Central,Student,26515,712,,0,2.6,72,,1,0,0,37,2025-11-16,16594,0
500186,22,Male,Central,Retired,31282,595,0.661,2,28.1,60,14615,3,1,8,67,2025-10-19,28197,1
500187,,Female,West,Self-Employed,32896,657,0.902,2,28.2,93,29341,2,0,7,30,2025-10-02,44258,1
500188,47,Female,West,Student,28088,631,0.106,0,5.7,102,15755,0,1,1,64,2025-09-17,18419,0
500189,45,Female,South,Self-Employed,41250,719,0.437,1,3.6,80,23863,0,0,0,45,2025-09-19,63614,0
500190,32,Male,West,Salaried,37514,688,0.521,1,2.9,65,13622,1,0,3,31,2025-10-23,51148,0
500191,37,Female,South,Salaried,48525,738,0.235,0,7.6,128,28540,1,0,1,64,2025-10-16,28979,0
500192,41,Male,South,Salaried,50361,777,0.593,0,6.1,80,31284,0,0,2,102,2025-10-07,62792,0
500193,47,Male,North,Salaried,40625,672,0.518,3,12.6,99,36569,1,0,7,54,2025-10-19,51452,1
500194,45,Male,West,Unemployed,48334,590,0.437,1,6.4,58,22805,0,3,4,53,2025-11-29,50771,1
500195,42,Male,East,Salaried,58995,687,0.514,0,4.2,63,25574,1,1,0,33,2025-10-12,45372,0
500196,18,Female,Central,Salaried,61379,710,0.344,0,1.7,53,36580,1,0,1,40,2025-10-17,73186,0
500197,34,Male,North,Self-Employed,15000,632,0.723,3,13.7,90,11116,3,0,7,50,2025-09-25,40667,1
500198,50,Male,North,Self-Employed,24778,714,0.372,0,3.2,29,11056,1,0,1,21,2025-09-18,24971,0
500199,46,Male,North,Salaried,48710,,0.392,1,0.6,71,15497,0,0,3,53,2025-11-21,36564,0
500200,43,Male,East,Unemployed,15000,614,0.63,1,17.9,84,7538,1,0,5,76,2025-11-21,20041,1
500201,41,Female,South,Salaried,44522,687,0.618,0,0.8,45,20812,0,0,3,43,2025-09-20,10015,0
500202,22,Male,South,Salaried,33022,697,0.611,0,4,63,24557,0,0,0,42,2025-10-31,28222,0
500203,31,Male,West,Self-Employed,21710,535,0.765,1,17.8,42,12027,3,1,3,27,2025-10-17,45356,1
500204,42,Female,East,Salaried,15000,814,0.274,1,2.9,94,7973,0,0,0,14,2025-11-08,12786,0
500205,53,Other,East,Student,94791,663,,4,5.8,62,78270,6,0,4,23,2025-11-23,98372,1
500206,46,Female,Central,Student,38398,631,0.528,0,0.5,110,9812,0,1,2,55,2025-11-25,9053,0
500207,48,Male,East,Salaried,56296,658,0.154,0,7.6,51,35638,1,0,0,71,2025-11-19,25683,0
500208,41,Other,Central,Unemployed,30374,618,0.641,0,4.4,107,11707,0,0,2,17,2025-09-29,30959,0
500209,32,Male,Central,Self-Employed,33854,684,0.683,0,0.5,72,15914,2,1,1,31,2025-09-26,44547,0
500210,28,Male,North,Self-Employed,40720,686,0.438,0,3.1,54,21443,2,0,4,28,2025-09-23,31916,0
500211,26,Female,East,Self-Employed,43149,634,0.372,0,7.9,69,13935,0,1,2,55,2025-09-28,19405,0
500212,18,Female,North,Salaried,51782,752,0.209,0,4.4,31,14068,1,0,1,170,2025-10-08,78016,0
500213,25,Male,Central,Salaried,71745,682,0.396,0,2,71,18635,0,0,1,109,2025-09-05,44485,0
500214,27,Male,West,Salaried,45834,664,0.535,2,8,83,21668,1,1,2,180,2025-10-23,29072,0
500215,38,Male,West,Salaried,28438,570,0.824,5,33.8,53,25909,4,1,5,26,2025-09-07,60318,1
500216,20,Male,South,Salaried,28671,679,0.065,3,2.2,101,11833,0,0,1,127,2025-11-26,45805,0
500217,25,Female,South,Student,35774,675,0.349,3,8.5,63,14940,1,0,3,30,2025-09-09,24015,0
500218,35,Female,Central,Salaried,47492,683,0.485,0,3.5,30,33840,0,2,0,14,2025-09-14,16546,0
500219,44,Female,South,Unemployed,16538,538,0.485,4,47,48,8397,2,0,5,73,2025-11-26,20971,1
500220,31,Female,West,Salaried,43628,746,0.143,0,2.8,46,27404,0,0,1,47,2025-11-02,57787,0
500221,39,Male,East,Salaried,23758,625,0.207,0,3.6,51,13085,0,1,5,30,2025-10-19,25415,0
500222,41,Male,East,Salaried,27925,642,0.179,2,1.3,75,16209,2,0,0,40,2025-10-01,8616,0
500223,24,Male,West,Self-Employed,64575,739,0.287,0,3,80,47736,0,0,1,62,2025-09-16,33900,0
500224,51,Male,South,Salaried,33753,741,0.433,0,2.8,53,13425,0,0,1,48,2025-11-14,42761,0
500225,18,Female,,Salaried,46522,662,0.247,0,2.5,94,25051,0,0,3,43,2025-09-12,13349,0
500226,18,Female,North,Student,43612,849,0.297,0,3.5,44,30573,1,0,3,39,2025-11-09,51133,0
500227,37,Male,West,Self-Employed,25200,660,0.148,0,8.4,97,16830,1,0,1,102,2025-10-26,29807,0
500228,22,Male,West,Salaried,33750,714,0.246,0,3.7,74,17213,0,1,2,14,2025-10-05,8612,0
500229,31,Female,East,Salaried,38097,708,0.082,2,7.9,55,27747,1,0,1,101,2025-09-28,26256,0
500230,38,Female,East,Salaried,76899,637,0.456,0,9.9,82,51900,0,0,2,37,2025-10-25,84825,0
500231,49,Male,East,Salaried,37975,693,0.096,2,5.3,82,11186,1,0,1,59,2025-10-20,56186,0
500232,35,Female,North,Salaried,22706,594,0.359,4,29.1,50,13815,0,1,7,13,2025-10-16,22544,1
500233,23,Female,East,Self-Employed,58102,705,0.155,1,1.7,56,40741,0,0,3,19,2025-11-28,12161,0
500234,38,Male,North,Self-Employed,28915,660,0.304,1,7.7,34,11457,0,0,4,91,2025-11-26,15819,0
500235,49,Female,South,Unemployed,32942,681,0.361,1,1.8,17,10532,0,0,3,51,2025-09-23,46648,0
500236,41,Female,East,Unemployed,48075,582,0.613,1,0.2,71,24605,0,0,2,44,2025-09-20,26619,0
500237,62,Male,North,Salaried,27827,592,0.696,4,26.5,57,19095,2,0,4,11,2025-10-27,30498,1
500238,27,Female,North,Salaried,87406,647,0.147,1,0.4,56,62074,1,0,4,93,2025-10-31,72215,0
500239,30,Female,East,Salaried,27019,775,0.583,0,3.8,102,16819,0,0,2,83,2025-11-02,30846,0
500240,45,Female,North,Salaried,45063,685,0.682,0,4.8,84,20658,0,0,3,29,2025-11-29,70373,0
500241,42,Male,North,Student,53672,695,0.279,0,4.1,108,13970,1,1,0,39,2025-09-20,51802,0
500242,37,Female,South,Salaried,121176,695,0.471,0,2.9,66,69952,0,0,4,77,2025-10-23,146308,0
500243,23,Female,East,,74977,654,0.026,0,0.7,35,28469,1,0,1,69,2025-10-05,54022,0
500244,27,Male,West,Salaried,21796,700,0.367,1,3.1,26,9402,0,0,5,40,2025-09-19,29213,0
500245,43,Female,West,Salaried,,764,,0,5.1,71,26590,1,1,0,71,2025-11-04,36202,0
500246,38,Male,West,Salaried,44094,643,0.199,1,1.7,70,19787,0,0,1,63,2025-10-03,16795,0
500247,36,Male,Central,Retired,43752,620,0.622,1,5.9,81,31156,0,0,2,20,2025-10-10,55676,0
500248,27,Male,North,Salaried,85366,743,0.811,1,6.4,74,26506,0,0,1,27,2025-12-01,67018,0
500249,18,Male,,Salaried,15000,595,0.883,5,25.2,58,8168,3,0,7,8,2025-11-09,26711,1
500250,57,Other,West,Retired,100936,678,0.291,1,12,46,39517,0,0,1,33,2025-11-12,82448,0
